case,parallel_threshold,cost_threshold_us,cost_per_operand_us,cost_per_nesting_us,sequential_ms,forced_parallel_ms,adaptive_ms,best_baseline_ms,regret,used_parallel,disjunctions_detected,estimated_branch_count,estimated_cost_us,branch_threshold,cost_gate_threshold_us,branch_gate_passed,cost_gate_passed,branches_created,branches_pruned,nogood_hits
disjunctive_5k,1000,500,25,30,32.908,1416.108,1563.479,32.908,47.510035,true,1000,1500,70000,1000,24000,true,true,1251,0,0
synthetic_union_1x4,1000,500,50,15,0.003,4.168,0.024,0.003,8.872782,false,1,1,240,1000,24000,false,false,0,0,0
synthetic_union_2x8,1000,500,50,15,0.003,0.669,0.141,0.003,45.167412,false,2,3,960,1000,24000,false,false,0,0,0
synthetic_complement_4x4,1000,500,50,15,0.002,1.009,0.069,0.002,42.085976,false,4,6,1200,1000,24000,false,false,0,0,0
synthetic_union_6x8,1000,500,50,15,0.004,3243.070,0.242,0.004,65.740761,false,6,11,2880,1000,24000,false,false,0,0,0
synthetic_complement_6x6,1000,500,50,15,0.021,576.235,0.219,0.021,10.268421,false,6,10,2700,1000,24000,false,false,0,0,0
hierarchy_100,1000,500,50,15,1.588,1.195,0.075,1.195,0.063003,false,0,10,0,1000,24000,false,false,0,0,0
univ_bench,1000,500,50,15,0.038,0.035,0.004,0.035,0.121923,false,0,1,0,1000,24000,false,false,0,0,0
disjunctive_5k,1000,500,50,15,32.908,1416.108,1579.717,32.908,48.003482,true,1000,1500,120000,1000,24000,true,true,1691,0,0
synthetic_union_1x4,1000,500,50,30,0.003,4.168,0.023,0.003,8.534541,false,1,1,240,1000,24000,false,false,0,0,0
synthetic_union_2x8,1000,500,50,30,0.003,0.669,0.122,0.003,39.115974,false,2,3,960,1000,24000,false,false,0,0,0
synthetic_complement_4x4,1000,500,50,30,0.002,1.009,0.072,0.002,43.676829,false,4,6,1440,1000,24000,false,false,0,0,0
synthetic_union_6x8,1000,500,50,30,0.004,3243.070,0.422,0.004,114.619565,false,6,11,2880,1000,24000,false,false,0,0,0
synthetic_complement_6x6,1000,500,50,30,0.021,576.235,0.203,0.021,9.525799,false,6,10,3240,1000,24000,false,false,0,0,0
hierarchy_100,1000,500,50,30,1.588,1.195,0.083,1.195,0.069543,false,0,10,0,1000,24000,false,false,0,0,0
univ_bench,1000,500,50,30,0.038,0.035,0.005,0.035,0.138066,false,0,1,0,1000,24000,false,false,0,0,0
disjunctive_5k,1000,500,50,30,32.908,1416.108,1035.580,32.908,31.468575,true,1000,1500,120000,1000,24000,true,true,1569,0,0
synthetic_union_1x4,1000,1000,25,15,0.003,4.168,0.034,0.003,12.952435,false,1,1,140,1000,48000,false,false,0,0,0
synthetic_union_2x8,1000,1000,25,15,0.003,0.669,0.259,0.003,82.707029,false,2,3,560,1000,48000,false,false,0,0,0
synthetic_complement_4x4,1000,1000,25,15,0.002,1.009,0.119,0.002,72.411585,false,4,6,800,1000,48000,false,false,0,0,0
synthetic_union_6x8,1000,1000,25,15,0.004,3243.070,0.354,0.004,96.246196,false,6,11,1680,1000,48000,false,false,0,0,0
synthetic_complement_6x6,1000,1000,25,15,0.021,576.235,0.345,0.021,16.221711,false,6,10,1800,1000,48000,false,false,0,0,0
hierarchy_100,1000,1000,25,15,1.588,1.195,0.354,1.195,0.296033,false,0,10,0,1000,48000,false,false,0,0,0
univ_bench,1000,1000,25,15,0.038,0.035,0.009,0.035,0.250920,false,0,1,0,1000,48000,false,false,0,0,0
disjunctive_5k,1000,1000,25,15,32.908,1416.108,1771.252,32.908,53.823734,true,1000,1500,70000,1000,48000,true,true,1739,0,0
synthetic_union_1x4,1000,1000,25,30,0.003,4.168,0.053,0.003,20.183465,false,1,1,140,1000,48000,false,false,0,0,0
synthetic_union_2x8,1000,1000,25,30,0.003,0.669,0.227,0.003,72.538978,false,2,3,560,1000,48000,false,false,0,0,0
synthetic_complement_4x4,1000,1000,25,30,0.002,1.009,0.105,0.002,64.135366,false,4,6,1040,1000,48000,false,false,0,0,0
synthetic_union_6x8,1000,1000,25,30,0.004,3243.070,0.443,0.004,120.502174,false,6,11,1680,1000,48000,false,false,0,0,0
synthetic_complement_6x6,1000,1000,25,30,0.021,576.235,0.423,0.021,19.882237,false,6,10,2340,1000,48000,false,false,0,0,0
hierarchy_100,1000,1000,25,30,1.588,1.195,0.306,1.195,0.256215,false,0,10,0,1000,48000,false,false,0,0,0
univ_bench,1000,1000,25,30,0.038,0.035,0.006,0.035,0.184183,false,0,1,0,1000,48000,false,false,0,0,0
disjunctive_5k,1000,1000,25,30,32.908,1416.108,1241.674,32.908,37.731217,true,1000,1500,70000,1000,48000,true,true,1413,0,0
synthetic_union_1x4,1000,1000,50,15,0.003,4.168,0.083,0.003,31.409966,false,1,1,240,1000,48000,false,false,0,0,0
synthetic_union_2x8,1000,1000,50,15,0.003,0.669,0.218,0.003,69.588179,false,2,3,960,1000,48000,false,false,0,0,0
synthetic_complement_4x4,1000,1000,50,15,0.002,1.009,0.049,0.002,30.081707,false,4,6,1200,1000,48000,false,false,0,0,0
synthetic_union_6x8,1000,1000,50,15,0.004,3243.070,0.217,0.004,58.991033,false,6,11,2880,1000,48000,false,false,0,0,0
synthetic_complement_6x6,1000,1000,50,15,0.021,576.235,0.200,0.021,9.408929,false,6,10,2700,1000,48000,false,false,0,0,0
hierarchy_100,1000,1000,50,15,1.588,1.195,0.141,1.195,0.118060,false,0,10,0,1000,48000,false,false,0,0,0
univ_bench,1000,1000,50,15,0.038,0.035,0.003,0.035,0.075778,false,0,1,0,1000,48000,false,false,0,0,0
disjunctive_5k,1000,1000,50,15,32.908,1416.108,1230.829,32.908,37.401692,true,1000,1500,120000,1000,48000,true,true,1191,0,0
synthetic_union_1x4,1000,1000,50,30,0.003,4.168,0.113,0.003,42.523971,false,1,1,240,1000,48000,false,false,0,0,0
synthetic_union_2x8,1000,1000,50,30,0.003,0.669,0.163,0.003,52.035783,false,2,3,960,1000,48000,false,false,0,0,0
synthetic_complement_4x4,1000,1000,50,30,0.002,1.009,0.147,0.002,89.685366,false,4,6,1440,1000,48000,false,false,0,0,0
synthetic_union_6x8,1000,1000,50,30,0.004,3243.070,0.515,0.004,139.928533,false,6,11,2880,1000,48000,false,false,0,0,0
synthetic_complement_6x6,1000,1000,50,30,0.021,576.235,0.502,0.021,23.582378,false,6,10,3240,1000,48000,false,false,0,0,0
hierarchy_100,1000,1000,50,30,1.588,1.195,0.420,1.195,0.351249,false,0,10,0,1000,48000,false,false,0,0,0
univ_bench,1000,1000,50,30,0.038,0.035,0.007,0.035,0.188404,false,0,1,0,1000,48000,false,false,0,0,0
disjunctive_5k,1000,1000,50,30,32.908,1416.108,2434.149,32.908,73.967447,true,1000,1500,120000,1000,48000,true,true,1881,0,0
synthetic_union_1x4,1500,250,25,15,0.003,4.168,0.109,0.003,41.199698,false,1,1,140,1500,12000,false,false,0,0,0
synthetic_union_2x8,1500,250,25,15,0.003,0.669,0.109,0.003,34.745367,false,2,3,560,1500,12000,false,false,0,0,0
synthetic_complement_4x4,1500,250,25,15,0.002,1.009,0.164,0.002,100.275000,false,4,6,800,1500,12000,false,false,0,0,0
synthetic_union_6x8,1500,250,25,15,0.004,3243.070,0.446,0.004,121.266304,false,6,11,1680,1500,12000,false,false,0,0,0
synthetic_complement_6x6,1500,250,25,15,0.021,576.235,0.452,0.021,21.237876,false,6,10,1800,1500,12000,false,false,0,0,0
hierarchy_100,1500,250,25,15,1.588,1.195,0.311,1.195,0.260128,false,0,10,0,1500,12000,false,false,0,0,0
univ_bench,1500,250,25,15,0.038,0.035,0.006,0.035,0.173830,false,0,1,0,1500,12000,false,false,0,0,0
disjunctive_5k,1500,250,25,15,32.908,1416.108,2636.490,32.908,80.116039,true,1000,1500,70000,1500,12000,true,true,1999,0,0
synthetic_union_1x4,1500,250,25,30,0.003,4.168,0.051,0.003,19.086448,false,1,1,140,1500,12000,false,false,0,0,0
synthetic_union_2x8,1500,250,25,30,0.003,0.669,0.197,0.003,62.799042,false,2,3,560,1500,12000,false,false,0,0,0
synthetic_complement_4x4,1500,250,25,30,0.002,1.009,0.110,0.002,66.979268,false,4,6,1040,1500,12000,false,false,0,0,0
synthetic_union_6x8,1500,250,25,30,0.004,3243.070,0.468,0.004,127.174728,false,6,11,1680,1500,12000,false,false,0,0,0
synthetic_complement_6x6,1500,250,25,30,0.021,576.235,0.411,0.021,19.336137,false,6,10,2340,1500,12000,false,false,0,0,0
hierarchy_100,1500,250,25,30,1.588,1.195,0.353,1.195,0.295616,false,0,10,0,1500,12000,false,false,0,0,0
